sipl,container,supplier,status,OF_status,CUSTOMS_status,DUTY_status,DRAYAGE_status,missing_categories,pending_categories,overall_status
170611,MRKU9558661,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170616,MRKU7530916,Global Surfaces FZE,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
170620,CAIU3005857,Riva Stone Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170621,MSNU7395469,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170667,INBU3751278,Testi Group s.r.l,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
170671,MEDU3110874,Marmoles Man Srl,INTRANSIT,Missing,Complete,Missing,Missing,"OF, DUTY, DRAYAGE",,Missing
170675,MEDU3870856,Granito Zucchi LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170686,MSNU7395469,Kronos 2 Ceramiche S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170690,MSNU3849619,Max Marmi Carrara s.r.l,INTRANSIT,Pending,Complete,Pending,Pending,,"OF, DUTY, DRAYAGE",Pending
170692,MSNU3849619,Tre Emme Import Export S.R.L,INTRANSIT,Pending,Complete,Pending,Pending,,"OF, DUTY, DRAYAGE",Pending
170696,HPCU2621975,Thor Bahia Granitos LTDA - EPP,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170697,MEDU2555295,Thor Bahia Granitos LTDA - EPP,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170699,MEDU6558203,Thor Bahia Granitos LTDA - EPP,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170709,FCIU2969902,Granito Zucchi LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170822,MEDU3756993,Santo Antonio Granitos LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170831,MSNU7395469,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170841,MSDU4522873,INFINITY ENGINEERED SURFACE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170907,TCKU1782585,"Ruipedra, World of Natural Stone, S.A.",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170907B,FCIU6443217,"Ruipedra, World of Natural Stone, S.A.",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170911,FCIU5805137,"Ruipedra, World of Natural Stone, S.A.",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
